Reference,DOI Reference,Paper title,Journal name,Volume,Issue,Page start,Page end,Year published,Crop,Scientific name,CO2 Projected (future scenario),CO2 at mid baseline at Manua Loa,∆Temp,∆PPT (%),Yield change (%),Range of pred. change (%),START Range,END Range,Adaptation,"E. scenario (SRES, RCP)",# GCM(s) used,GCM(s),# Impact model used,"Impact model (CERES, EPIC)","Baseline (e.g., 1980-2000)",START Baseline,END Baseline,"Projection (e.g., 2030-2050)",START Projection,END Projection,Geog. Scope,Region,Country-ISO2,State,City,Latitude,Logitude,"Spatial scale (regional, national, local)",Comments (e.g. Key assumptions),Added by
Abou-Hadid 2006,N/A,"Assessements of Impacts, Adaptation and Vulnerability to Climate Change in North Africa: Food Production and Water Resources ",N/A,N/A,N/A,1,127,2006,Wheat,Triticum spp,349.13,349.13,1.5,0,-14.91,-14.91 to -14.91,-14.91,-14.91,No,None,0,None,1,Statistical (based on T),1975-1999,1975,1999,None,N/A,N/A,"Sakha, Kafr El-Sheikh, Egypt",Egypt,Egypt,Kafr El-Sheikh,Sakha,N/A,N/A,R,"This is a report. Sensitivity analysis to deltaT and deltaP, using values derived from means of MAGICC/SCENGEN.",CLCD
Abou-Hadid 2006,N/A,"Assessements of Impacts, Adaptation and Vulnerability to Climate Change in North Africa: Food Production and Water Resources ",N/A,N/A,N/A,1,127,2006,Wheat,Triticum spp,349.13,349.13,1.5,0,-14.52,-14.52 to -14.52,-14.52,-14.52,PDA,None,0,None,1,Statistical (based on T),1975-1999,1975,1999,None,N/A,N/A,"Sakha, Kafr El-Sheikh, Egypt",Egypt,Egypt,Kafr El-Sheikh,Sakha,N/A,N/A,R,"This is a report. Sensitivity analysis to deltaT and deltaP, using values derived from means of MAGICC/SCENGEN. PDA is delay +10 days",CLCD
Abou-Hadid 2006,N/A,"Assessements of Impacts, Adaptation and Vulnerability to Climate Change in North Africa: Food Production and Water Resources ",N/A,N/A,N/A,1,127,2006,Wheat,Triticum spp,349.13,349.13,1.5,0,-13.99,-13.99 to -13.99,-13.99,-13.99,PDA,None,0,None,1,Statistical (based on T),1975-1999,1975,1999,None,N/A,N/A,"Sakha, Kafr El-Sheikh, Egypt",Egypt,Egypt,Kafr El-Sheikh,Sakha,N/A,N/A,R,"This is a report. Sensitivity analysis to deltaT and deltaP, using values derived from means of MAGICC/SCENGEN. PDA is delay +20 days",CLCD
Abou-Hadid 2006,N/A,"Assessements of Impacts, Adaptation and Vulnerability to Climate Change in North Africa: Food Production and Water Resources ",N/A,N/A,N/A,1,127,2006,Wheat,Triticum spp,349.13,349.13,1.5,0,-13.34,-13.34 to -13.34,-13.34,-13.34,PDA,None,0,None,1,Statistical (based on T),1975-1999,1975,1999,None,N/A,N/A,"Sakha, Kafr El-Sheikh, Egypt",Egypt,Egypt,Kafr El-Sheikh,Sakha,N/A,N/A,R,"This is a report. Sensitivity analysis to deltaT and deltaP, using values derived from means of MAGICC/SCENGEN. PDA is delay +30 days",CLCD
Abou-Hadid 2006,N/A,"Assessements of Impacts, Adaptation and Vulnerability to Climate Change in North Africa: Food Production and Water Resources ",N/A,N/A,N/A,1,127,2006,Wheat,Triticum spp,349.13,349.13,1.5,0,-13.56,-13.56 to -13.56,-13.56,-13.56,IO,None,0,None,1,Statistical (based on T),1975-1999,1975,1999,None,N/A,N/A,"Sakha, Kafr El-Sheikh, Egypt",Egypt,Egypt,Kafr El-Sheikh,Sakha,N/A,N/A,R,"This is a report. Sensitivity analysis to deltaT and deltaP, using values derived from means of MAGICC/SCENGEN. IO is 300mm/season",CLCD
Abou-Hadid 2006,N/A,"Assessements of Impacts, Adaptation and Vulnerability to Climate Change in North Africa: Food Production and Water Resources ",N/A,N/A,N/A,1,127,2006,Wheat,Triticum spp,349.13,349.13,1.5,0,-12.15,-12.15 to -12.15,-12.15,-12.15,IO,None,0,None,1,Statistical (based on T),1975-1999,1975,1999,None,N/A,N/A,"Sakha, Kafr El-Sheikh, Egypt",Egypt,Egypt,Kafr El-Sheikh,Sakha,N/A,N/A,R,"This is a report. Sensitivity analysis to deltaT and deltaP, using values derived from means of MAGICC/SCENGEN. IO is 400mm/season",CLCD
Abou-Hadid 2006,N/A,"Assessements of Impacts, Adaptation and Vulnerability to Climate Change in North Africa: Food Production and Water Resources ",N/A,N/A,N/A,1,127,2006,Wheat,Triticum spp,349.13,349.13,1.5,0,-10.75,-10.75 to -10.75,-10.75,-10.75,IO,None,0,None,1,Statistical (based on T),1975-1999,1975,1999,None,N/A,N/A,"Sakha, Kafr El-Sheikh, Egypt",Egypt,Egypt,Kafr El-Sheikh,Sakha,N/A,N/A,R,"This is a report. Sensitivity analysis to deltaT and deltaP, using values derived from means of MAGICC/SCENGEN. IO is 500mm/season",CLCD
Abou-Hadid 2006,N/A,"Assessements of Impacts, Adaptation and Vulnerability to Climate Change in North Africa: Food Production and Water Resources ",N/A,N/A,N/A,1,127,2006,Wheat,Triticum spp,349.13,349.13,1.5,0,-9.3,-9.3 to -9.3,-9.3,-9.3,IO,None,0,None,1,Statistical (based on T),1975-1999,1975,1999,None,N/A,N/A,"Sakha, Kafr El-Sheikh, Egypt",Egypt,Egypt,Kafr El-Sheikh,Sakha,N/A,N/A,R,"This is a report. Sensitivity analysis to deltaT and deltaP, using values derived from means of MAGICC/SCENGEN. IO is 600mm/season",CLCD
Abou-Hadid 2006,N/A,"Assessements of Impacts, Adaptation and Vulnerability to Climate Change in North Africa: Food Production and Water Resources ",N/A,N/A,N/A,1,127,2006,Wheat,Triticum spp,349.13,349.13,1.5,0,-12.59,-12.59 to -12.59,-12.59,-12.59,IO/PDA,None,0,None,1,Statistical (based on T),1975-1999,1975,1999,None,N/A,N/A,"Sakha, Kafr El-Sheikh, Egypt",Egypt,Egypt,Kafr El-Sheikh,Sakha,N/A,N/A,R,"This is a report. Sensitivity analysis to deltaT and deltaP, using values derived from means of MAGICC/SCENGEN. IO is 300mm/season and PDA is delay by +10 days",CLCD
Abou-Hadid 2006,N/A,"Assessements of Impacts, Adaptation and Vulnerability to Climate Change in North Africa: Food Production and Water Resources ",N/A,N/A,N/A,1,127,2006,Wheat,Triticum spp,349.13,349.13,1.5,0,-11.96,-11.96 to -11.96,-11.96,-11.96,IO/PDA,None,0,None,1,Statistical (based on T),1975-1999,1975,1999,None,N/A,N/A,"Sakha, Kafr El-Sheikh, Egypt",Egypt,Egypt,Kafr El-Sheikh,Sakha,N/A,N/A,R,"This is a report. Sensitivity analysis to deltaT and deltaP, using values derived from means of MAGICC/SCENGEN. IO is 300mm/season and PDA is delay by +20 days",CLCD
